city,carwash_count,carwash_per_area,carwash_per_km,gasstation_count,gasstation_per_area,gasstation_per_km,carretail_count,carretail_per_area,carretail_per_km,rental_count,rental_per_area,rental_per_km,lat,lon,country
hamburg,125,0.15730703049039385,6.35699496,266,0.3347493608835581,2.9873096616541353,122,0.1535316617586244,6.513314508196721,148,0.18625152410062631,5.369083581081081,53.550556,9.993333,Deutschland
muenchen,69,0.2219329396043567,4.505865608695652,168,0.5403584616453903,1.8506233749999996,81,0.26052997257902744,3.8383299629629626,124,0.39883600740493086,2.5072961854838707,48.137154,11.576124,Deutschland
koeln,43,0.10621040678267167,9.415273232558139,142,0.35074134332882273,2.851103866197183,86,0.21242081356534334,4.7076366162790695,74,0.18278070004459776,5.471037148648648,50.936389,6.952778,Deutschland
frankfurt am main,42,0.16907669867746153,5.914475547619047,87,0.35023030440331315,2.8552640574712647,71,0.28582013347856594,3.4987038450704224,78,0.31399958325814287,3.184717602564102,50.116667,8.683333,Deutschland
berlin,165,0.1855156376735816,5.39038116969697,373,0.41937777486209654,2.3844849678284183,225,0.252975869554884,3.9529461911111112,191,0.21474840482214597,4.656612005235602,52.518611,13.408333,Deutschland
