date,tavg,tsun,rain_days,day_without_rain,snow_days,days_without_snow,city,lat,lon
2017-02-01,2.3785714285714286,132.0,3,25,0,28,berlin,52.518611,13.408333
2017-03-01,7.958064516129032,241.74193548387098,8,23,0,31,berlin,52.518611,13.408333
2017-04-01,8.629999999999999,282.6,4,26,0,30,berlin,52.518611,13.408333
2017-05-01,15.516129032258064,425.16129032258067,2,29,0,31,berlin,52.518611,13.408333
2017-06-01,18.92,462.3333333333333,9,21,0,30,berlin,52.518611,13.408333
2017-07-01,19.225806451612904,406.64516129032256,10,21,0,31,berlin,52.518611,13.408333
2017-08-01,19.493548387096773,419.16129032258067,5,26,0,31,berlin,52.518611,13.408333
2017-09-01,14.346666666666666,282.3666666666667,3,27,0,30,berlin,52.518611,13.408333
2017-10-01,12.029032258064515,147.3548387096774,10,21,0,31,berlin,52.518611,13.408333
2017-11-01,6.22,90.7,7,23,0,30,berlin,52.518611,13.408333
2017-12-01,3.9419354838709677,65.90322580645162,8,23,1,30,berlin,52.518611,13.408333
2018-01-01,3.7387096774193544,49.41935483870968,9,22,1,30,berlin,52.518611,13.408333
2018-02-01,-0.7999999999999999,299.64285714285717,0,28,0,28,berlin,52.518611,13.408333
2018-03-01,1.9870967741935484,229.67741935483872,6,25,1,30,berlin,52.518611,13.408333
2018-04-01,13.956666666666667,502.6333333333333,5,25,0,30,berlin,52.518611,13.408333
2018-05-01,18.041935483870965,658.5483870967741,2,29,0,31,berlin,52.518611,13.408333
2018-06-01,19.61,450.6,4,26,0,30,berlin,52.518611,13.408333
2018-07-01,21.983870967741936,626.0967741935484,3,28,0,31,berlin,52.518611,13.408333
2018-08-01,21.64516129032258,523.8387096774194,1,30,0,31,berlin,52.518611,13.408333
2018-09-01,16.279999999999998,403.6,5,25,0,30,berlin,52.518611,13.408333
2018-10-01,11.316129032258065,319.48387096774195,1,30,0,31,berlin,52.518611,13.408333
2018-11-01,5.75,126.26666666666667,2,28,0,30,berlin,52.518611,13.408333
2018-12-01,4.493548387096775,27.258064516129032,9,22,0,31,berlin,52.518611,13.408333
2019-01-01,1.5290322580645161,90.41935483870968,9,22,4,27,berlin,52.518611,13.408333
2019-02-01,5.035714285714286,241.17857142857142,3,25,1,27,berlin,52.518611,13.408333
2019-03-01,7.364516129032259,154.0,9,22,0,31,berlin,52.518611,13.408333
2019-04-01,11.15,526.8333333333334,3,27,0,30,berlin,52.518611,13.408333
2019-05-01,12.341935483870968,377.8709677419355,6,25,0,31,berlin,52.518611,13.408333
2019-06-01,22.15,679.2666666666667,6,24,0,30,berlin,52.518611,13.408333
2019-07-01,19.43548387096774,412.35483870967744,7,24,0,31,berlin,52.518611,13.408333
2019-08-01,20.39032258064516,463.4516129032258,7,24,0,31,berlin,52.518611,13.408333
2019-09-01,14.71,335.5,6,24,0,30,berlin,52.518611,13.408333
2019-10-01,11.290322580645162,237.90322580645162,7,24,0,31,berlin,52.518611,13.408333
2019-11-01,6.38,77.83333333333333,9,21,0,30,berlin,52.518611,13.408333
2019-12-01,4.364516129032259,90.0,4,27,0,31,berlin,52.518611,13.408333
2020-01-01,4.558064516129033,118.6774193548387,8,23,0,31,berlin,52.518611,13.408333
2020-02-01,6.282758620689655,96.72413793103448,11,18,0,29,berlin,52.518611,13.408333
2020-03-01,5.706451612903226,320.7096774193548,7,24,0,31,berlin,52.518611,13.408333
2020-04-01,10.696666666666665,591.2666666666667,1,29,0,30,berlin,52.518611,13.408333
2020-05-01,12.293548387096775,437.16129032258067,4,27,0,31,berlin,52.518611,13.408333
2020-06-01,18.759999999999998,469.5,7,23,0,30,berlin,52.518611,13.408333
2020-07-01,17.98709677419355,429.16129032258067,6,25,0,31,berlin,52.518611,13.408333
2020-08-01,21.151612903225807,465.38709677419354,6,25,0,31,berlin,52.518611,13.408333
2020-09-01,15.413333333333332,424.73333333333335,7,23,0,30,berlin,52.518611,13.408333
2020-10-01,11.112903225806452,121.16129032258064,9,22,0,31,berlin,52.518611,13.408333
2020-11-01,7.193333333333333,133.8,1,29,0,30,berlin,52.518611,13.408333
2020-12-01,3.5387096774193547,91.74193548387096,3,28,0,31,berlin,52.518611,13.408333
2021-01-01,0.9483870967741935,43.32258064516129,10,21,5,26,berlin,52.518611,13.408333
2021-02-01,1.3964285714285716,196.25,7,21,14,14,berlin,52.518611,13.408333
2021-03-01,5.361290322580645,277.0,6,25,1,30,berlin,52.518611,13.408333
2021-04-01,6.8100000000000005,311.6,5,25,0,30,berlin,52.518611,13.408333
2021-05-01,12.03225806451613,360.258064516129,8,23,0,31,berlin,52.518611,13.408333
2021-06-01,20.65,537.3,2,28,0,30,berlin,52.518611,13.408333
2021-07-01,20.25483870967742,409.61290322580646,5,26,0,31,berlin,52.518611,13.408333
2021-08-01,17.141935483870967,307.61290322580646,12,19,0,31,berlin,52.518611,13.408333
2021-09-01,15.623333333333333,276.9,2,28,0,30,berlin,52.518611,13.408333
2021-10-01,10.03225806451613,277.9032258064516,4,27,0,31,berlin,52.518611,13.408333
