,name,address,postcode,latitude,longitude
38,Motus Vermietungsservice,"Katharinenstraße 26, 10711 Berlin",10711,52.49817,13.2923
39,Aral,"Halenseestraße, 14055 Berlin",14055,52.50187,13.27812
40,Berlin Spandauer Damm.,"Spandauer Damm 151, 14050 Berlin",14050,52.51918,13.27225
0,Autopflege Berlin,"Rhinstraße 54a, 12681 Berlin",12681,52.51882,13.52034
1,Nikolaos Kolias Car Wash Center,"Alvenslebenstraße 12, 10783 Berlin",10783,52.49519,13.36546
2,Aral,"Hauptstraße 86, 12159 Berlin",12159,52.474,13.33876
3,Berlin Buchberger Str,"Buchberger Straße 30, 10365 Berlin",10365,52.50705,13.48502
4,Amatron Automotive,"Börnestraße 26, 13086 Berlin",13086,52.54977,13.44874
5,Lutz Werner Autopflege,"Plauener Straße 161, 13053 Berlin",13053,52.54322,13.5157
6,CleanCar,"Siegfriedstraße 80, 10365 Berlin",10365,52.53171,13.5026
7,Berlin Prinzenallee 20.,"Prinzenallee 20, 13357 Berlin",13357,52.55519,13.38442
8,Berlin Skalitzer Str. 48.,"Skalitzer Straße 48, 10997 Berlin",10997,52.49918,13.43329
9,Total Wash,"Tempelhofer Ufer 33-35, 10963 Berlin",10963,52.50057,13.37672
10,Car-Cosmetic-Berlin,"Kulmer Straße 2, 10783 Berlin",10783,52.49492,13.36588
11,Berlin Oranienstr,"Oranienstraße 138, 10969 Berlin",10969,52.50407,13.40841
12,Car Wash Profis Ali Yilmaz,"Passauer Straße 10-11, 10789 Berlin",10789,52.50027,13.33924
13,Berlin Rummelsbur.Ldstr.16.,"Rummelsburger Landstraße 16, 12459 Berlin",12459,52.48092,13.50214
14,Total Wash,"Margarete-Sommer-Straße 2, 10407 Berlin",10407,52.53083,13.44094
15,Ecoshine Deutschland,"Hirtenstraße 12, 10178 Berlin",10178,52.52611,13.4102
16,Berlin Sachsendamm 90-92.,"Sachsendamm 90-92, 10829 Berlin",10829,52.47865,13.35507
17,Eckhard Böhm,"Buchberger Straße 30, 10365 Berlin",10365,52.50705,13.48502
18,Aral,"Frankfurter Allee 214, 10365 Berlin",10365,52.51123,13.49352
19,Berlin Paulstrasse 20.,"Paulstraße 20, 10557 Berlin",10557,52.51981,13.35503
20,Aral,"Prinzenstraße 29, 10969 Berlin",10969,52.50206,13.40988
21,Cosy-Wasch Autoservice Betriebe,"Holzmarktstraße, 10243 Berlin",10243,52.51179,13.42782
22,Berlin Hauptstr,"Hauptstraße 91, 12159 Berlin",12159,52.47589,13.3413
23,Aral,"Seestraße 18-19, 13353 Berlin",13353,52.54643,13.34543
24,Cosy Autowasch,"Wilhelm-Kabus-Straße 9, 10829 Berlin",10829,52.48411,13.36913
25,Autopflege Konopatzki,"Salzmannstraße 24, 10319 Berlin",10319,52.49763,13.49897
26,Aps Enterprise,"Alte Jakobstraße 83-84, 10179 Berlin",10179,52.50966,13.4073
27,Aral,"Rathenower Straße 8, 10559 Berlin",10559,52.52535,13.35702
28,Aral,"Dudenstraße 19, 10965 Berlin",10965,52.48461,13.38143
29,City Car Wash,"Karl-Marx-Straße 66, 12043 Berlin",12043,52.48202,13.4328
30,Cosy-Wasch Autoservice Betriebe,"Am Tierpark 126, 10319 Berlin",10319,52.49492,13.52457
31,Aral,"Holzmarktstraße 12-14, 10179 Berlin",10179,52.51386,13.42189
32,Vitali Knaus Autopflege,"Ferdinand-Schultze-Straße 85, 13055 Berlin",13055,52.54216,13.50864
33,Berlin Martin-Luther-Str,"Martin-Luther-Straße 29, 10777 Berlin",10777,52.49639,13.34654
34,Berlin Muellerstr,"Müllerstraße 22 B-23, 13353 Berlin",13353,52.54533,13.3616
0,Aral,"Alt-Friedrichsfelde 64, 12683 Berlin",12683,52.51033,13.53866
1,Mfs Muemelts Reinigungs Service,"Luzinstraße 24, 12619 Berlin",12619,52.52716,13.5863
2,Cosy Wasch,"Riesaer Straße 121, 12627 Berlin",12627,52.53031,13.62461
5,Berlin Stendaler Str,"Stendaler Straße 176, 12627 Berlin",12627,52.5454,13.60398
6,Total Wash,"Alt-Mahlsdorf 60, 12623 Berlin",12623,52.50437,13.6246
7,Aral,"Landsberger Allee 534, 12681 Berlin",12681,52.54628,13.5743
8,Cosy-Wasch Autoservice Betriebe,"Tychyer Straße 2, 12683 Berlin",12683,52.50719,13.56538
11,Berlin Hultschiner Damm,"Hultschiner Damm 129/131, 12623 Berlin",12623,52.48654,13.60407
12,CleanCar,"Marzahner Chaussee 232, 12681 Berlin",12681,52.53119,13.53332
13,Mobile Fahrzeugpflege Harald Niemand,"Blumberger Damm 211, 12687 Berlin",12687,52.55219,13.57255
14,Sprint,"Landsberger Allee 534, 12679 Berlin",12679,52.54621,13.57402
0,Autoservice Albert,"Landweg 31, 12207 Berlin",12207,52.41073,13.3176
1,G & R Autoreinigung,"Brüderstraße 8, 12205 Berlin",12205,52.44042,13.29378
6,Aral,"Königstraße 58, 14109 Berlin",14109,52.4192,13.15887
7,Agip CarWash,"Ostpreußendamm 89, 12207 Berlin",12207,52.41555,13.30268
8,Berlin Koenigsberger Str.,"Königsberger Straße 8, 12207 Berlin",12207,52.42964,13.32216
9,Cosy-Wasch Autoservice Betriebe,"Potsdamer Straße 11B, 14163 Berlin",14163,52.43314,13.24208
10,Aral,"Drakestraße 26A, 12205 Berlin",12205,52.44097,13.29943
11,Aral,"Argentinische Allee 49, 14163 Berlin",14163,52.44457,13.24259
12,Logistics Wash,"Vopeliuspfad 10, 14169 Berlin",14169,52.43497,13.26734
13,Aral,"Schloßstraße 63-64, 12165 Berlin",12165,52.45304,13.31523
15,Pro D.Systemdienstleistungen,"Goerzallee 251, 14167 Berlin",14167,52.4162,13.28264
0,Taw Tankanlagen,"Michael-Brückner-Straße 25, 12439 Berlin",12439,52.45323,13.51337
1,Otto Christ Autowaschanlage,"Volkmarstraße 1, 12099 Berlin",12099,52.45448,13.39871
2,Berlin Karl-Marx-Str,"Karl-Marx-Straße 267, 12057 Berlin",12057,52.46537,13.44332
3,Sau-Bär-Service,"Segelfliegerdamm 89, 12487 Berlin",12487,52.43911,13.50761
4,Carspa,"Lichtenrader Damm 18A, 12305 Berlin",12305,52.41258,13.40187
5,Cosy-Wasch Autoservice Betriebe,"Karl-Marx-Straße 259, 12057 Berlin",12057,52.46574,13.44256
6,Aral,"Schnellerstraße 20, 12439 Berlin",12439,52.45985,13.50441
7,Star,"Johannisthaler Chaussee 263, 12351 Berlin",12351,52.43179,13.46086
8,Swash Sb-Waschplätze Betriebs,"Mollnerweg 19, 12353 Berlin",12353,52.41956,13.44299
9,Berlin Tempelhofer Weg.,"Tempelhofer Weg 102, 12347 Berlin",12347,52.45041,13.43449
10,Berlin Buckower Damm.,"Buckower Damm 225, 12349 Berlin",12349,52.42346,13.43732
11,Mr. Chic Autopflege,"Schnellerstraße 21, 12439 Berlin",12439,52.45641,13.50921
12,Cosy-Wasch Autoservice Betriebe,"Rudower Straße 146-150, 12351 Berlin",12351,52.43304,13.47183
13,Berlin Rudower Str.,"Rudower Straße 102, 12351 Berlin",12351,52.43617,13.46534
14,Shell,"Bergstraße 31-32, 12169 Berlin",12169,52.45836,13.33886
15,KOM Reparaturdienst Berlin GmbH,"Ordensmeisterstraße 40, 12099 Berlin",12099,52.4588,13.39546
16,Cosy-Wasch Autoservice Betriebe,"Großbeerenstraße 82-88, 12107 Berlin",12107,52.43337,13.37751
17,Wasch Park Röblingstraße,"Röblingstraße 118, 12105 Berlin",12105,52.45211,13.3617
18,Berlin Manteuffelstr,"Manteuffelstraße 6, 12103 Berlin",12103,52.46455,13.37709
20,Aral,"Neuköllner Straße 219, 12357 Berlin",12357,52.4287,13.47967
21,Esso Station Lichtenrader Damm 274,"Lichtenrader Damm 274, 12305 Berlin",12305,52.3878,13.40854
