,index,Typ,Geometry_Type,Coordinates,Postcode,City,Population,Size,Population_Density,Country
0,0,Feature,Polygon,"[[[11.394678, 48.147287], [11.394845, 48.146543], [11.395, 48.146382], [11.395075, 48.145923], [11.395038, 48.145086], [11.39507, 48.144413], [11.395236, 48.14355], [11.395687, 48.142297], [11.396551, 48.140554], [11.396733, 48.140254], [11.3972, 48.140074], [11.397758, 48.140028], [11.398155, 48.139842], [11.398372, 48.139656], [11.398664, 48.13923], [11.398798, 48.139088], [11.398997, 48.13906], [11.400193, 48.13938], [11.401011, 48.139616], [11.401507, 48.139742], [11.402167, 48.139872], [11.404101, 48.140132], [11.411678, 48.141133], [11.411533, 48.141574], [11.410974, 48.143576], [11.410423, 48.145496], [11.410391, 48.145592], [11.410322, 48.145586], [11.410291, 48.145689], [11.410281, 48.14578], [11.410293, 48.145865], [11.410312, 48.145907], [11.41033, 48.145947], [11.410345, 48.145967], [11.410387, 48.146019], [11.410437, 48.14607], [11.410509, 48.146117], [11.410322, 48.146383], [11.410298, 48.146626], [11.410154, 48.146956], [11.409858, 48.147648], [11.409742, 48.148144], [11.409641, 48.148545], [11.409316, 48.149076], [11.409288, 48.149076], [11.409373, 48.149558], [11.409401, 48.1497], [11.40942, 48.149853], [11.40942, 48.14997], [11.409405, 48.150096], [11.40904, 48.151278], [11.408743, 48.152192], [11.408732, 48.152254], [11.408751, 48.1523], [11.408782, 48.15233], [11.408878, 48.152356], [11.409291, 48.152432], [11.409693, 48.152514], [11.409698, 48.152598], [11.409713, 48.152691], [11.409764, 48.152794], [11.409815, 48.152853], [11.409872, 48.152919], [11.409945, 48.152991], [11.410005, 48.153062], [11.410048, 48.153111], [11.41019, 48.153342], [11.410272, 48.15348], [11.410403, 48.153708], [11.410522, 48.153991], [11.410659, 48.154317], [11.410721, 48.154449], [11.410815, 48.154638], [11.411009, 48.155008], [11.411194, 48.155381], [11.411236, 48.155502], [11.41125, 48.155565], [11.411252, 48.15562], [11.411212, 48.155693], [11.411142, 48.155752], [11.411049, 48.155786], [11.410947, 48.155812], [11.410763, 48.155845], [11.410568, 48.155872], [11.410056, 48.155946], [11.409935, 48.155972], [11.409863, 48.155997], [11.409768, 48.156036], [11.4097, 48.156082], [11.409633, 48.156162], [11.409628, 48.156215], [11.409648, 48.156248], [11.409747, 48.156304], [11.409658, 48.156315], [11.409023, 48.156388], [11.408295, 48.156481], [11.407807, 48.156553], [11.407318, 48.156636], [11.407024, 48.156689], [11.40655, 48.156781], [11.405261, 48.160415], [11.403249, 48.158614], [11.402146, 48.157626], [11.400708, 48.156245], [11.398333, 48.154046], [11.397189, 48.15291], [11.396406, 48.152001], [11.395912, 48.151149], [11.395451, 48.150272], [11.395252, 48.14959], [11.394925, 48.148357], [11.394898, 48.147795], [11.394678, 48.147287]]]",81248,muenchen,121,1.984763,60,Deutschland
1,1,Feature,Polygon,"[[[8.672537, 50.11264], [8.673634, 50.111517], [8.674846, 50.111936], [8.674949, 50.112201], [8.675151, 50.11266], [8.67335, 50.112998], [8.673338, 50.112973], [8.673288, 50.112871], [8.673279, 50.112851], [8.673222, 50.112735], [8.673181, 50.11265], [8.672759, 50.11264], [8.672593, 50.112637], [8.672537, 50.11264]]]",60315,frankfurt am main,0,0.017481,0,Deutschland
2,8,Feature,Polygon,"[[[8.672617, 50.11164], [8.672931, 50.111289], [8.673433, 50.111469], [8.673113, 50.111815], [8.672617, 50.11164]]]",60312,frankfurt am main,0,0.001829,0,Deutschland
3,24,Feature,Polygon,"[[[8.66955, 50.115843], [8.670234, 50.11568], [8.670718, 50.115565], [8.670725, 50.115633], [8.670589, 50.11566], [8.670671, 50.116369], [8.669902, 50.116553], [8.66955, 50.115843]]]",60306,frankfurt am main,0,0.005756,0,Deutschland
4,1118,Feature,Polygon,"[[[8.672014, 50.110757], [8.672315, 50.110397], [8.672643, 50.110116], [8.672944, 50.110221], [8.673163, 50.110305], [8.673241, 50.110335], [8.673321, 50.110366], [8.673341, 50.110374], [8.673518, 50.110442], [8.673642, 50.110477], [8.673039, 50.111122], [8.672014, 50.110757]]]",60310,frankfurt am main,0,0.007068,0,Deutschland
5,1971,Feature,Polygon,"[[[10.031426, 53.566078], [10.031883, 53.565638], [10.032104, 53.565737], [10.032307, 53.565585], [10.032511, 53.565666], [10.032991, 53.56523], [10.032677, 53.5651], [10.033768, 53.564164], [10.034494, 53.564364], [10.034722, 53.564136], [10.034884, 53.564201], [10.035381, 53.563812], [10.035476, 53.563844], [10.035804, 53.563567], [10.036273, 53.563043], [10.037163, 53.562092], [10.037039, 53.561863], [10.037945, 53.561046], [10.038017, 53.561014], [10.039238, 53.56153], [10.040386, 53.561973], [10.041376, 53.562352], [10.042421, 53.562625], [10.044032, 53.562983], [10.044898, 53.56315], [10.046094, 53.563307], [10.047124, 53.563407], [10.04876, 53.56348], [10.050968, 53.563627], [10.050712, 53.563035], [10.050544, 53.562259], [10.050578, 53.561934], [10.050331, 53.561915], [10.050287, 53.561452], [10.051231, 53.561352], [10.051324, 53.561979], [10.051077, 53.561972], [10.051133, 53.562255], [10.051307, 53.562336], [10.05143, 53.563063], [10.051458, 53.563641], [10.052231, 53.563729], [10.053339, 53.563885], [10.054076, 53.564021], [10.05722, 53.564799], [10.057249, 53.564848], [10.057583, 53.564934], [10.057646, 53.564901], [10.060582, 53.565624], [10.060578, 53.56568], [10.062237, 53.566108], [10.062703, 53.56625], [10.061047, 53.568599], [10.061616, 53.569034], [10.061442, 53.569319], [10.060675, 53.569151], [10.06023, 53.569799], [10.060746, 53.570346], [10.060421, 53.570869], [10.059676, 53.570705], [10.058705, 53.572688], [10.058359, 53.573451], [10.059043, 53.573569], [10.058761, 53.574645], [10.05787, 53.574762], [10.057847, 53.575256], [10.057809, 53.57578], [10.057737, 53.575824], [10.057675, 53.57602], [10.057332, 53.575975], [10.056795, 53.575897], [10.056783, 53.575875], [10.056722, 53.575829], [10.056693, 53.575773], [10.056668, 53.575504], [10.056579, 53.575339], [10.056439, 53.575169], [10.056286, 53.57503], [10.05609, 53.574893], [10.055758, 53.574708], [10.050089, 53.57304], [10.049936, 53.573222], [10.049577, 53.573135], [10.049482, 53.573169], [10.049339, 53.573324], [10.04916, 53.573343], [10.046808, 53.572605], [10.044978, 53.572073], [10.040649, 53.57091], [10.039904, 53.570636], [10.039029, 53.57026], [10.037838, 53.569641], [10.037742, 53.56959], [10.037711, 53.569615], [10.03183, 53.56657], [10.031854, 53.566272], [10.031426, 53.566078]]]",22089,hamburg,19734,1.775989,11111,Deutschland
6,1985,Feature,Polygon,"[[[9.940916, 53.581668], [9.942773, 53.581463], [9.942845, 53.581633], [9.943334, 53.581564], [9.943264, 53.581386], [9.945431, 53.581285], [9.946518, 53.580751], [9.946855, 53.580645], [9.947239, 53.580525], [9.947285, 53.580221], [9.946785, 53.579807], [9.947057, 53.579611], [9.946786, 53.579395], [9.945952, 53.579549], [9.945537, 53.579206], [9.946, 53.578715], [9.945525, 53.578552], [9.945272, 53.578662], [9.944743, 53.578356], [9.946449, 53.577303], [9.945575, 53.57676], [9.946005, 53.576452], [9.946915, 53.576725], [9.94784, 53.576169], [9.947236, 53.575733], [9.947992, 53.575398], [9.948953, 53.575809], [9.950608, 53.575184], [9.950338, 53.574932], [9.950001, 53.574625], [9.950233, 53.574568], [9.950695, 53.574395], [9.950907, 53.57428], [9.95108, 53.574191], [9.951171, 53.574279], [9.951705, 53.5749], [9.951658, 53.574981], [9.95167, 53.574998], [9.951735, 53.575087], [9.951674, 53.575343], [9.951605, 53.575442], [9.951799, 53.575913], [9.951695, 53.57597], [9.951938, 53.576663], [9.954756, 53.576251], [9.955169, 53.576303], [9.955509, 53.576209], [9.955957, 53.576677], [9.956164, 53.576638], [9.956304, 53.576328], [9.95614, 53.576125], [9.957586, 53.575551], [9.957514, 53.575304], [9.958273, 53.575135], [9.958772, 53.575058], [9.959586, 53.574997], [9.959807, 53.575172], [9.960876, 53.575151], [9.960874, 53.575276], [9.961934, 53.575654], [9.963438, 53.577222], [9.963475, 53.577259], [9.963128, 53.577555], [9.962651, 53.577309], [9.962285, 53.577416], [9.962465, 53.577659], [9.961895, 53.57784], [9.96168, 53.577588], [9.96166, 53.577566], [9.961413, 53.577296], [9.960985, 53.577409], [9.958187, 53.578983], [9.958586, 53.579203], [9.957489, 53.579957], [9.957884, 53.580197], [9.957578, 53.580437], [9.957949, 53.581001], [9.957791, 53.581536], [9.956394, 53.581377], [9.955717, 53.581393], [9.955876, 53.581819], [9.955218, 53.581909], [9.954093, 53.582149], [9.954204, 53.582373], [9.952391, 53.582501], [9.950803, 53.582651], [9.950501, 53.582678], [9.949818, 53.583107], [9.947502, 53.582887], [9.944026, 53.582537], [9.943944, 53.582768], [9.943269, 53.582654], [9.941153, 53.582113], [9.940916, 53.581668]]]",20255,hamburg,13770,0.703937,19561,Deutschland
7,2508,Feature,Polygon,"[[[9.730116, 53.557642], [9.732154, 53.5575], [9.732704, 53.557465], [9.740421, 53.556901], [9.74165, 53.556809], [9.749777, 53.556195], [9.759012, 53.555494], [9.761678, 53.555288], [9.763348, 53.555149], [9.763343, 53.559221], [9.76331, 53.563106], [9.763823, 53.562977], [9.763991, 53.563976], [9.764101, 53.564426], [9.763928, 53.564886], [9.763662, 53.565921], [9.762958, 53.567526], [9.761757, 53.570383], [9.763281, 53.570428], [9.764466, 53.570463], [9.765763, 53.570501], [9.766549, 53.570527], [9.767599, 53.570562], [9.768374, 53.570588], [9.770004, 53.570639], [9.770995, 53.57067], [9.77387, 53.570761], [9.774296, 53.571515], [9.773396, 53.571736], [9.774111, 53.57291], [9.774983, 53.572734], [9.776734, 53.575838], [9.776949, 53.576243], [9.781271, 53.574748], [9.782378, 53.574224], [9.782371, 53.574163], [9.782401, 53.574165], [9.782642, 53.574585], [9.782935, 53.575088], [9.782184, 53.577116], [9.781569, 53.578773], [9.780858, 53.580683], [9.781606, 53.580723], [9.781638, 53.580953], [9.785686, 53.580989], [9.783292, 53.58218], [9.783761, 53.582643], [9.781161, 53.583746], [9.781534, 53.58407], [9.781341, 53.584137], [9.781714, 53.584467], [9.782239, 53.584263], [9.783739, 53.585377], [9.783466, 53.585613], [9.78413, 53.586986], [9.783854, 53.587114], [9.784694, 53.58777], [9.784597, 53.58784], [9.785433, 53.588241], [9.785415, 53.588301], [9.786237, 53.588901], [9.786434, 53.589485], [9.786394, 53.58948], [9.786238, 53.589647], [9.786237, 53.58978], [9.786007, 53.58972], [9.785857, 53.589744], [9.785873, 53.589957], [9.7857, 53.590118], [9.785211, 53.590206], [9.785168, 53.590254], [9.785187, 53.590471], [9.785231, 53.590506], [9.785004, 53.590646], [9.784069, 53.590877], [9.783337, 53.591001], [9.780812, 53.591544], [9.781523, 53.592207], [9.782162, 53.592906], [9.782306, 53.592918], [9.782681, 53.593477], [9.782443, 53.593634], [9.782467, 53.593775], [9.782508, 53.593777], [9.782574, 53.594214], [9.782299, 53.594277], [9.781806, 53.594302], [9.781815, 53.594371], [9.781955, 53.594663], [9.782138, 53.595046], [9.782243, 53.595906], [9.782297, 53.5959], [9.782468, 53.596739], [9.782636, 53.597007], [9.782704, 53.597203], [9.782627, 53.597229], [9.782723, 53.597303], [9.782757, 53.597364], [9.782831, 53.597418], [9.782954, 53.597512], [9.782998, 53.597509], [9.78298, 53.597771], [9.783026, 53.597823], [9.782966, 53.597833], [9.783082, 53.598002], [9.783144, 53.598051], [9.783339, 53.598192], [9.7834, 53.598259], [9.783667, 53.598719], [9.784001, 53.598968], [9.784262, 53.599282], [9.783527, 53.599391], [9.78354, 53.599481], [9.783644, 53.599576], [9.783532, 53.599679], [9.783382, 53.599818], [9.783249, 53.599874], [9.783145, 53.599869], [9.782858, 53.599993], [9.782805, 53.600052], [9.782796, 53.60042], [9.782902, 53.600637], [9.782594, 53.600835], [9.781059, 53.60032], [9.7809, 53.600376], [9.780662, 53.60053], [9.780235, 53.600828], [9.780064, 53.601053], [9.779871, 53.601228], [9.779854, 53.601321], [9.779652, 53.601567], [9.779416, 53.601709], [9.778852, 53.602283], [9.781307, 53.603162], [9.78122, 53.603216], [9.78084, 53.603327], [9.780821, 53.603411], [9.780471, 53.603574], [9.780282, 53.60381], [9.779614, 53.604758], [9.779446, 53.605126], [9.779477, 53.605161], [9.779534, 53.605182], [9.779183, 53.605528], [9.779001, 53.605692], [9.780934, 53.605765], [9.781096, 53.605811], [9.783577, 53.606691], [9.783705, 53.606728], [9.783843, 53.606752], [9.785175, 53.606634], [9.788615, 53.606324], [9.78941, 53.604816], [9.789746, 53.603978], [9.792177, 53.604292], [9.792191, 53.604899], [9.795568, 53.605347], [9.797169, 53.605646], [9.79902, 53.607928], [9.797731, 53.60912], [9.796262, 53.610323], [9.791225, 53.608631], [9.790314, 53.609262], [9.790057, 53.609516], [9.789079, 53.610467], [9.788895, 53.610719], [9.788862, 53.611165], [9.786206, 53.61141], [9.786156, 53.611379], [9.780622, 53.613114], [9.77799, 53.613926], [9.770549, 53.616031], [9.768524, 53.622575], [9.769289, 53.624849], [9.770179, 53.627606], [9.771404, 53.631376], [9.771333, 53.63139], [9.771268, 53.631405], [9.77005, 53.627611], [9.767987, 53.627527], [9.763748, 53.627389], [9.763557, 53.624906], [9.760045, 53.624284], [9.759248, 53.622182], [9.758882, 53.621202], [9.758624, 53.62041], [9.757935, 53.618262], [9.757553, 53.617057], [9.757404, 53.616857], [9.756639, 53.615979], [9.755988, 53.616072], [9.755876, 53.616052], [9.754932, 53.614715], [9.754819, 53.614741], [9.753593, 53.612953], [9.753721, 53.612913], [9.753756, 53.612857], [9.754864, 53.612474], [9.756312, 53.61202], [9.756261, 53.611969], [9.759222, 53.611008], [9.759199, 53.610963], [9.757594, 53.607355], [9.757428, 53.607007], [9.7568, 53.605714], [9.755664, 53.603303], [9.755434, 53.602665], [9.75408, 53.602876], [9.752751, 53.603105], [9.749693, 53.603626], [9.748331, 53.603856], [9.747887, 53.602878], [9.7474, 53.601832], [9.745138, 53.599644], [9.743833, 53.598145], [9.743611, 53.596858], [9.743678, 53.596795], [9.744183, 53.594944], [9.744559, 53.594614], [9.744754, 53.594596], [9.74647, 53.592623], [9.745573, 53.59003], [9.745343, 53.589357], [9.745404, 53.589204], [9.745543, 53.589082], [9.745587, 53.588975], [9.744927, 53.588945], [9.744366, 53.589002], [9.744345, 53.589109], [9.744025, 53.589204], [9.743546, 53.589151], [9.743244, 53.589342], [9.742823, 53.589332], [9.742506, 53.589024], [9.742214, 53.588527], [9.742077, 53.588369], [9.738102, 53.585458], [9.737752, 53.585193], [9.737671, 53.585132], [9.7354, 53.583478], [9.735168, 53.58325], [9.734549, 53.582559], [9.735473, 53.582121], [9.736369, 53.581572], [9.737448, 53.57987], [9.739133, 53.580048], [9.739032, 53.581196], [9.740354, 53.581273], [9.741415, 53.579568], [9.742521, 53.577976], [9.740667, 53.577922], [9.740149, 53.577886], [9.740002, 53.577869], [9.740046, 53.577806], [9.739275, 53.577661], [9.738644, 53.577596], [9.738373, 53.577587], [9.738143, 53.577585], [9.737533, 53.57766], [9.736942, 53.577145], [9.736744, 53.577155], [9.736051, 53.576295], [9.736006, 53.5757], [9.736958, 53.575223], [9.736384, 53.573408], [9.735046, 53.569875], [9.735102, 53.569828], [9.73478, 53.568608], [9.734779, 53.5677], [9.73476, 53.567375], [9.734817, 53.567261], [9.734935, 53.567266], [9.735108, 53.566806], [9.735272, 53.56648], [9.735121, 53.566425], [9.735041, 53.566054], [9.734931, 53.565868], [9.734746, 53.56566], [9.734644, 53.565463], [9.734581, 53.565368], [9.734408, 53.565018], [9.734171, 53.564645], [9.73398, 53.564339], [9.733152, 53.562938], [9.733011, 53.5627], [9.732274, 53.561399], [9.730116, 53.557642]]]",22559,hamburg,14638,16.46621,888,Deutschland
8,2550,Feature,Polygon,"[[[10.078219, 53.586924], [10.07858, 53.586863], [10.078442, 53.58663], [10.078413, 53.586548], [10.078413, 53.586232], [10.078546, 53.586013], [10.079004, 53.585251], [10.078871, 53.585134], [10.078754, 53.584993], [10.078805, 53.584538], [10.079015, 53.584486], [10.079366, 53.584374], [10.079774, 53.583655], [10.079504, 53.583604], [10.07964, 53.583351], [10.079452, 53.583312], [10.079556, 53.583105], [10.079893, 53.583175], [10.080252, 53.582531], [10.080086, 53.582287], [10.080243, 53.581999], [10.080639, 53.582077], [10.081012, 53.581346], [10.080939, 53.581321], [10.081076, 53.5811], [10.080802, 53.581052], [10.080863, 53.580912], [10.080975, 53.580846], [10.081128, 53.580797], [10.081542, 53.58073], [10.081922, 53.579951], [10.081338, 53.579865], [10.081427, 53.579633], [10.0817, 53.579663], [10.081773, 53.579469], [10.082796, 53.579601], [10.082743, 53.579723], [10.083028, 53.579756], [10.083109, 53.579546], [10.084596, 53.579745], [10.085484, 53.579843], [10.085378, 53.580189], [10.08537, 53.580214], [10.085294, 53.580329], [10.08527, 53.580362], [10.085848, 53.580478], [10.08596, 53.580337], [10.086208, 53.580363], [10.086248, 53.580226], [10.086832, 53.580299], [10.086878, 53.580305], [10.08701, 53.580322], [10.087048, 53.580326], [10.087226, 53.580349], [10.087201, 53.580446], [10.088496, 53.580584], [10.08852, 53.580475], [10.089296, 53.580613], [10.089357, 53.580411], [10.089457, 53.580434], [10.090322, 53.580573], [10.090535, 53.580612], [10.090638, 53.580494], [10.090458, 53.580113], [10.091681, 53.580165], [10.091759, 53.580196], [10.092055, 53.580239], [10.092193, 53.580227], [10.092123, 53.580436], [10.092695, 53.580349], [10.093519, 53.580422], [10.094721, 53.580714], [10.094898, 53.580435], [10.094932, 53.580385], [10.094897, 53.58034], [10.094696, 53.580244], [10.094516, 53.58007], [10.094375, 53.579922], [10.094742, 53.579449], [10.095042, 53.579111], [10.095762, 53.57922], [10.096086, 53.579277], [10.09621, 53.579312], [10.09622, 53.579314], [10.096409, 53.579543], [10.096524, 53.579651], [10.097728, 53.579843], [10.097699, 53.579915], [10.098185, 53.579999], [10.098247, 53.57988], [10.09864, 53.579955], [10.098997, 53.580548], [10.099365, 53.580607], [10.099751, 53.579699], [10.100841, 53.57989], [10.100818, 53.57993], [10.100779, 53.580008], [10.100868, 53.580024], [10.101016, 53.580049], [10.101087, 53.580059], [10.100979, 53.5803], [10.101127, 53.580327], [10.101301, 53.579985], [10.102257, 53.580167], [10.102447, 53.580205], [10.102272, 53.580739], [10.102884, 53.580888], [10.103248, 53.580975], [10.103448, 53.581024], [10.103469, 53.580993], [10.103884, 53.58109], [10.103803, 53.581215], [10.104527, 53.581381], [10.104218, 53.581819], [10.10388, 53.58226], [10.107468, 53.583105], [10.108266, 53.583526], [10.109179, 53.583068], [10.10937, 53.582926], [10.109685, 53.582444], [10.110884, 53.582616], [10.111153, 53.582559], [10.111963, 53.582766], [10.110314, 53.585919], [10.107847, 53.588537], [10.110655, 53.589897], [10.112228, 53.59142], [10.112198, 53.59231], [10.109391, 53.591703], [10.109573, 53.592176], [10.109219, 53.592365], [10.109574, 53.592733], [10.10979, 53.592678], [10.109982, 53.592945], [10.109521, 53.593099], [10.108782, 53.592595], [10.108616, 53.592373], [10.108554, 53.59209], [10.108207, 53.59189], [10.107781, 53.59169], [10.107297, 53.591423], [10.106185, 53.590825], [10.105852, 53.590664], [10.105717, 53.590756], [10.105568, 53.590857], [10.105411, 53.590964], [10.104943, 53.591254], [10.104929, 53.591283], [10.10494, 53.591319], [10.105076, 53.591639], [10.105276, 53.59201], [10.104977, 53.592112], [10.10002, 53.593753], [10.099031, 53.594085], [10.099406, 53.59433], [10.099288, 53.594878], [10.099265, 53.596276], [10.099181, 53.596299], [10.100072, 53.597028], [10.099314, 53.597793], [10.098175, 53.597551], [10.093555, 53.596532], [10.091693, 53.596136], [10.091428, 53.596622], [10.091296, 53.597132], [10.090932, 53.597416], [10.090773, 53.599045], [10.085724, 53.598496], [10.085332, 53.598217], [10.084733, 53.598176], [10.084524, 53.598238], [10.084032, 53.598286], [10.083395, 53.598441], [10.082297, 53.598445], [10.082295, 53.598139], [10.082319, 53.598061], [10.082424, 53.597702], [10.0819, 53.597628], [10.081821, 53.597486], [10.081353, 53.597406], [10.081385, 53.59722], [10.081132, 53.597206], [10.080982, 53.596888], [10.080969, 53.596736], [10.080448, 53.596686], [10.080616, 53.595547], [10.080677, 53.595111], [10.08004, 53.595085], [10.08017, 53.594324], [10.078794, 53.594022], [10.079264, 53.59323], [10.080498, 53.593469], [10.080748, 53.593158], [10.080963, 53.593201], [10.081041, 53.593073], [10.081308, 53.593131], [10.081481, 53.592858], [10.081062, 53.592774], [10.08165, 53.591623], [10.081393, 53.591575], [10.081605, 53.59119], [10.081948, 53.591261], [10.082083, 53.591074], [10.082385, 53.591142], [10.082426, 53.591055], [10.082507, 53.590914], [10.082234, 53.590854], [10.081848, 53.590749], [10.082029, 53.590409], [10.08233, 53.590467], [10.08238, 53.590401], [10.082759, 53.59048], [10.082818, 53.59038], [10.082894, 53.590395], [10.082916, 53.590083], [10.082421, 53.58996], [10.082864, 53.589463], [10.08283, 53.589288], [10.081702, 53.589058], [10.082171, 53.588287], [10.082334, 53.588022], [10.080888, 53.587711], [10.080571, 53.587579], [10.080129, 53.587306], [10.079876, 53.587339], [10.079739, 53.587181], [10.079722, 53.587048], [10.078961, 53.587148], [10.078905, 53.587067], [10.078355, 53.587189], [10.078219, 53.586924]]]",22047,hamburg,16747,3.313129,5054,Deutschland
9,2551,Feature,Polygon,"[[[10.05787, 53.574762], [10.058761, 53.574645], [10.059043, 53.573569], [10.058359, 53.573451], [10.058705, 53.572688], [10.059676, 53.570705], [10.060421, 53.570869], [10.060746, 53.570346], [10.06023, 53.569799], [10.060675, 53.569151], [10.061442, 53.569319], [10.061616, 53.569034], [10.061047, 53.568599], [10.062703, 53.56625], [10.066226, 53.567164], [10.068674, 53.567722], [10.071259, 53.568395], [10.071381, 53.568427], [10.077891, 53.570096], [10.079432, 53.570515], [10.081491, 53.571211], [10.082489, 53.571561], [10.084397, 53.572192], [10.08557, 53.572535], [10.086837, 53.572856], [10.087591, 53.573032], [10.08805, 53.573123], [10.090085, 53.57349], [10.095655, 53.574359], [10.098598, 53.574846], [10.099508, 53.575], [10.099989, 53.57509], [10.101285, 53.575358], [10.103479, 53.575935], [10.105226, 53.576619], [10.104617, 53.57715], [10.104143, 53.576987], [10.103977, 53.577134], [10.104068, 53.577166], [10.103852, 53.577363], [10.103955, 53.577398], [10.103783, 53.577559], [10.104683, 53.577874], [10.105792, 53.576842], [10.106797, 53.577253], [10.108402, 53.5779], [10.109087, 53.578236], [10.108888, 53.578502], [10.107846, 53.579201], [10.107314, 53.579004], [10.106854, 53.579207], [10.105907, 53.579054], [10.10462, 53.580071], [10.102509, 53.579502], [10.102257, 53.580167], [10.101301, 53.579985], [10.101127, 53.580327], [10.100979, 53.5803], [10.101087, 53.580059], [10.101016, 53.580049], [10.100868, 53.580024], [10.100779, 53.580008], [10.100818, 53.57993], [10.100841, 53.57989], [10.099751, 53.579699], [10.099365, 53.580607], [10.098997, 53.580548], [10.09864, 53.579955], [10.098247, 53.57988], [10.098185, 53.579999], [10.097699, 53.579915], [10.097728, 53.579843], [10.096524, 53.579651], [10.096409, 53.579543], [10.09622, 53.579314], [10.09621, 53.579312], [10.096086, 53.579277], [10.095762, 53.57922], [10.095042, 53.579111], [10.094742, 53.579449], [10.094375, 53.579922], [10.094516, 53.58007], [10.094696, 53.580244], [10.094897, 53.58034], [10.094932, 53.580385], [10.094898, 53.580435], [10.094721, 53.580714], [10.093519, 53.580422], [10.092695, 53.580349], [10.092123, 53.580436], [10.092193, 53.580227], [10.092055, 53.580239], [10.091759, 53.580196], [10.091681, 53.580165], [10.090458, 53.580113], [10.090638, 53.580494], [10.090535, 53.580612], [10.090322, 53.580573], [10.089457, 53.580434], [10.089357, 53.580411], [10.089296, 53.580613], [10.08852, 53.580475], [10.088496, 53.580584], [10.087201, 53.580446], [10.087226, 53.580349], [10.087048, 53.580326], [10.08701, 53.580322], [10.086878, 53.580305], [10.086832, 53.580299], [10.086248, 53.580226], [10.086208, 53.580363], [10.08596, 53.580337], [10.085848, 53.580478], [10.08527, 53.580362], [10.085294, 53.580329], [10.08537, 53.580214], [10.085378, 53.580189], [10.085484, 53.579843], [10.084596, 53.579745], [10.083109, 53.579546], [10.083028, 53.579756], [10.082743, 53.579723], [10.082796, 53.579601], [10.081773, 53.579469], [10.0817, 53.579663], [10.081427, 53.579633], [10.081338, 53.579865], [10.081922, 53.579951], [10.081542, 53.58073], [10.081128, 53.580797], [10.080975, 53.580846], [10.080863, 53.580912], [10.080802, 53.581052], [10.081076, 53.5811], [10.080939, 53.581321], [10.081012, 53.581346], [10.080639, 53.582077], [10.080243, 53.581999], [10.080086, 53.582287], [10.080252, 53.582531], [10.079893, 53.583175], [10.079556, 53.583105], [10.079452, 53.583312], [10.07964, 53.583351], [10.079504, 53.583604], [10.079774, 53.583655], [10.079366, 53.584374], [10.079015, 53.584486], [10.078805, 53.584538], [10.078754, 53.584993], [10.078871, 53.585134], [10.079004, 53.585251], [10.078546, 53.586013], [10.078289, 53.585976], [10.077772, 53.585881], [10.077714, 53.585902], [10.077584, 53.585903], [10.077343, 53.585617], [10.076722, 53.58448], [10.077944, 53.584794], [10.078344, 53.584288], [10.077197, 53.584019], [10.077237, 53.583955], [10.076468, 53.583753], [10.07598, 53.582941], [10.075272, 53.582238], [10.075041, 53.5822], [10.07497, 53.582139], [10.074932, 53.582153], [10.074846, 53.582186], [10.07454, 53.581915], [10.074582, 53.581478], [10.074407, 53.581459], [10.074432, 53.581278], [10.074135, 53.581237], [10.074188, 53.581115], [10.073929, 53.581082], [10.073959, 53.581002], [10.073531, 53.580787], [10.073344, 53.58068], [10.072955, 53.580659], [10.072649, 53.580332], [10.072755, 53.580211], [10.072582, 53.580121], [10.072371, 53.580016], [10.072264, 53.580015], [10.07185, 53.57958], [10.071312, 53.579597], [10.071298, 53.579914], [10.071023, 53.580019], [10.070866, 53.580079], [10.070859, 53.580081], [10.070091, 53.580027], [10.0703, 53.579584], [10.069932, 53.57958], [10.069273, 53.579631], [10.068983, 53.579631], [10.068815, 53.579627], [10.068212, 53.579839], [10.067995, 53.579811], [10.067807, 53.579788], [10.067317, 53.579727], [10.067509, 53.579407], [10.06753, 53.579354], [10.06755, 53.579304], [10.06711, 53.579241], [10.066781, 53.579265], [10.066723, 53.579248], [10.066698, 53.579255], [10.066699, 53.579248], [10.066588, 53.579237], [10.066533, 53.579232], [10.066522, 53.579266], [10.066286, 53.579363], [10.065435, 53.579257], [10.06523, 53.579259], [10.064934, 53.579065], [10.064974, 53.578889], [10.064224, 53.578648], [10.064331, 53.578542], [10.06426, 53.578209], [10.063111, 53.577747], [10.06286, 53.577736], [10.062815, 53.577588], [10.062566, 53.577573], [10.062474, 53.577522], [10.062465, 53.57753], [10.062419, 53.577509], [10.06241, 53.577299], [10.061891, 53.577073], [10.061735, 53.577068], [10.061613, 53.577021], [10.061614, 53.576912], [10.06152, 53.576869], [10.061426, 53.576834], [10.061207, 53.577027], [10.061061, 53.576969], [10.060461, 53.576699], [10.060324, 53.576633], [10.060351, 53.576534], [10.060391, 53.576422], [10.060473, 53.576211], [10.06062, 53.575859], [10.060817, 53.5752], [10.059535, 53.575088], [10.059122, 53.574938], [10.058313, 53.574745], [10.05787, 53.574762]]]",22041,hamburg,14620,3.00553,4864,Deutschland
